Location,Population
"Newcastle city, WA","13,072"
"Vienna charter township, MI","13,063"
"La Grande city, OR","13,058"
"Ballston town, NY","13,057"
"Lincolnwood village, IL","13,055"
"Amherst city, OH","13,048"
"Lincoln city, IL","13,047"
"Lumberton township, NJ","13,040"
"Marietta city, OH","13,039"
"Hazel Crest village, IL","13,036"
"Lake Station city, IN","13,033"
"Jennings city, MO","13,024"
"Cedarburg city, WI","13,011"
"Butler city, PA","13,010"
"Lake County, MI","13,005"
"Sandy city, OR","12,990"
"Robinson city, TX","12,986"
"Grand Terrace city, CA","12,979"
"Lower Pottsgrove township, PA","12,978"
"Rochester city, MI","12,978"
"Mandeville city, LA","12,973"
"Schodack town, NY","12,956"
"Bath County, KY","12,951"
"Dover city, OH","12,946"
"Cottonwood city, AZ","12,939"
"Garden City city, ID","12,936"
"Granbury city, TX","12,934"
"Oakland borough, NJ","12,926"
"Falmouth town, ME","12,919"
"Derby city, CT","12,915"
"Derby town, CT","12,915"
"Bainbridge township, OH","12,914"
"West Carrollton city, OH","12,911"
"Minooka village, IL","12,907"
"North Smithfield town, RI","12,899"
"Canton city, IL","12,896"
"Miami city, OK","12,886"
"Carencro city, LA","12,883"
"WA city Indi, na","12,881"
"WA city, IN","12,881"
"Carpinteria city, CA","12,876"
"Lewis County, KY","12,875"
"Branson city, MO","12,869"
"Solana Beach city, CA","12,868"
"Kent town, NY","12,861"
"Big Lake city, MN","12,855"
"Pennsville township, NJ","12,855"
"Poquoson city, VA","12,854"
"North Middleton township, PA","12,843"
"Mounds View city, MN","12,841"
"Bedford city, OH","12,834"
"Red Bank borough, NJ","12,830"
"Larkspur city, CA","12,807"
"Smithfield town, NC","12,806"
"Breathitt County, KY","12,804"
"Bexley city, OH","12,793"
"Crossville city, TN","12,785"
"Lake City city, FL","12,783"
"Tyngsborough town, MA","12,779"
"Macon County, IL","12,751"
"Port WA city Wiscon, in","12,750"
"Port WA city, WI","12,750"
"Sharon city, PA","12,744"
"Belgrade city, MT","12,741"
"Grafton village, WI","12,741"
"Kelso city, WA","12,737"
"Ottawa city, KS","12,733"
"Bordentown township, NJ","12,732"
"West Point city, UT","12,726"
"Mamakating town, NY","12,721"
"Bastrop city, TX","12,720"
"Marysville city, CA","12,714"
"Las Vegas city, NM","12,711"
"Haddonfield borough, NJ","12,707"
"Lindsay city, CA","12,706"
"St. Ann city, MO","12,704"
"West Plains city, MO","12,704"
"Greenville city, OH","12,701"
"Cheney city, WA","12,700"
"El Dorado city, KS","12,694"
"Plano city, IL","12,677"
"Tremonton city, UT","12,677"
"Palos Verdes Estates city, CA","12,668"
"Wickliffe city, OH","12,659"
"Byram city, MS","12,656"
"San Anselmo town, CA","12,645"
"North St. Paul city, MN","12,644"
"Bound Brook borough, NJ","12,643"
"Gig Harbor city, WA","12,643"
"Windsor Locks town, CT","12,643"
"Ulster town, NY","12,640"
"Wilmington city, OH","12,639"
"Edmonson County, KY","12,635"
"Rathdrum city, ID","12,626"
"Mendota city, CA","12,623"
"Lovejoy city, GA","12,612"
"Camp Verde town, AZ","12,608"
"Sussex village, WI","12,607"
"Douglas County, KS","12,577"
"Woodhaven city, MI","12,575"
"Fulton city, MO","12,573"
"Leeds city, AL","12,573"
"East Greenwich township, NJ","12,565"
"Poulsbo city, WA","12,562"
"Artesia city, NM","12,550"
"Webster city, TX","12,548"
"Gaffney city, SC","12,546"
"Lantana town, FL","12,545"
"Perkins township, OH","12,538"
"Grover Beach city, CA","12,534"
"Danville town, IN","12,532"
"Freehold borough, NJ","12,530"
"Brown Deer village, WI","12,527"
"Paradise Valley town, AZ","12,523"
"Brunswick town, NY","12,518"
"Wrentham town, MA","12,516"
"Richton Park village, IL","12,504"
"Levelland city, TX","12,494"
"Winnetka village, IL","12,494"
"North Adams city, MA","12,492"
"Shawnee township, OH","12,490"
"West Monroe city, LA","12,476"
"Cloquet city, MN","12,475"
"Monroe County, WV","12,462"
"Boone city, IA","12,461"
"Algoma township, MI","12,456"
"St. Peter city, MN","12,456"
"Amite County, MS","12,451"
"James Island town, SC","12,451"
"Patchogue village, NY","12,447"
"Coventry town, CT","12,445"
"Haverstraw village, NY","12,445"
"Elgin city, TX","12,438"
"Doraville city, GA","12,436"
"Effingham city, IL","12,434"
"Northlake city, IL","12,433"
"Upper township, NJ","12,406"
"Yeadon borough, PA","12,405"
"Melvindale city, MI","12,401"
"Geneva city, NY","12,397"
"Guymon city, OK","12,397"
"Northumberland County, VA","12,397"
"Somerset city, KY","12,389"
"Palmer Town city, MA","12,388"
"Dunkirk city, NY","12,379"
"Fort Atkinson city, WI","12,377"
"Jackson County, TN","12,376"
"Canton township, OH","12,366"
"Show Low city, AZ","12,366"
"Eufaula city, AL","12,363"
"St. Marys city, PA","12,361"
"Blytheville city, AR","12,359"
"Susanville city, CA","12,359"
"Choctaw city, OK","12,358"
"Conneaut city, OH","12,357"
"New Britain township, PA","12,354"
"Lincolnton city, NC","12,353"
"Crawford County, GA","12,349"
"Meadville city, PA","12,347"
"Glen Rock borough, NJ","12,346"
"Forrest City city, AR","12,340"
"Lower Gwynedd township, PA","12,336"
"Greensburg city, IN","12,317"
"Emmaus borough, PA","12,314"
"Escanaba city, MI","12,296"
"Streator city, IL","12,295"
"Flowery Branch city, GA","12,292"
"Newman city, CA","12,292"
"Jefferson Hills borough, PA","12,291"
"Beatrice city, NE","12,290"
"East Bethel city, MN","12,288"
"Rantoul village, IL","12,268"
"Justice village, IL","12,267"
"Ionia city, MI","12,265"
"North Castle town, NY","12,264"
"Lakeville town, MA","12,262"
"Zeeland charter township, MI","12,261"
"DeForest village, WI","12,260"
"North Branch city, MN","12,258"
"Rapho township, PA","12,256"
"Hasbrouck Heights borough, NJ","12,253"
"Herrin city, IL","12,253"
"West Deer township, PA","12,242"
"Crestwood city, MO","12,239"
"River Edge borough, NJ","12,235"
"North Lebanon township, PA","12,224"
"South Lyon city, MI","12,219"
"Somersworth city, NH","12,218"
"Burley city, ID","12,211"
"Orono town, ME","12,199"
"Pontiac township, IL","12,198"
"Babylon village, NY","12,193"
"Lawrenceburg city, KY","12,189"
"Woodbury town, NY","12,178"
"El Campo city, TX","12,176"
"Hartsville/Trousdale County, TN","12,159"
"Trousdale County, TN","12,159"
"Archdale city, NC","12,147"
"Baker city, LA","12,147"
"Kewanee city, IL","12,146"
"Macedonia city, OH","12,139"
"Grenada city, MS","12,138"
"New Baltimore city, MI","12,132"
"Sylacauga city, AL","12,123"
"Heard County, GA","12,119"
"Fortuna city, CA","12,114"
"Lawrenceburg city, TN","12,112"
"Madison city, IN","12,108"
"Athol town, MA","12,105"
"San Marino city, CA","12,105"
"Wellington town, CO","12,100"
"Spencer town, MA","12,090"
"Palos Heights city, IL","12,088"
"Irmo town, SC","12,086"
"Lewisboro town, NY","12,083"
"Red Bank city, TN","12,073"
"Wallington borough, NJ","12,060"
"Weatherford city, OK","12,047"
"Clay County, NC","12,042"
"Lenoir City city, TN","12,041"
"Kennebunk town, ME","12,028"
"Lindon city, UT","12,018"
"Picayune city, MS","12,017"
"Riverview city, MI","12,011"
"Lunenburg town, MA","12,007"
"Hanover town, NH","12,005"
"Elizabethtown borough, PA","11,993"
"Dudley town, MA","11,984"
"Liberty Hill city, TX","11,984"
"Brattleboro town, VT","11,975"
"Norfolk town, MA","11,962"
"Ontario city, OR","11,957"
"Martinsville city, IN","11,952"
"Airway Heights city, WA","11,950"
"Guttenberg town, NJ","11,945"
"Union charter township, MI","11,945"
"Pleasant Hill city, IA","11,942"
"Wells town, ME","11,940"
"Victoria city, MN","11,937"
"Thomas township, MI","11,921"
"Miami Shores village, FL","11,917"
"Prineville city, OR","11,917"
"Amherst town, NH","11,914"
"River Forest township, IL","11,909"
"River Forest village, IL","11,909"
"Newton County, TX","11,908"
"Selma city, TX","11,900"
"Yorktown town, IN","11,900"
"Gladstone city, OR","11,898"
"OR village, WI","11,895"
"Oregon village, WI","11,895"
"Borger city, TX","11,892"
"Commerce city, CA","11,882"
"Plymouth town, CT","11,879"
"New Kensington city, PA","11,877"
"Pepperell town, MA","11,877"
"Vermillion city, SD","11,877"
"Holmen village, WI","11,866"
"Rolesville town, NC","11,854"
"Bellmawr borough, NJ","11,846"
"Los Alamitos city, CA","11,846"
"Fort Morgan city, CO","11,835"
"Platteville city, WI","11,833"
"Tarrytown village, NY","11,829"
"Douglas city, GA","11,828"
"Scotts Valley city, CA","11,828"
"Weston town, MA","11,827"
"Campbellsville city, KY","11,820"
"Carver town, MA","11,817"
"Troy city, IL","11,810"
"McIntosh County, GA","11,800"
"Kings Mountain city, NC","11,797"
"Sebring city, FL","11,795"
"Moss Point city, MS","11,791"
"Portales city, NM","11,789"
"Wilton Manors city, FL","11,788"
"Centralia city, IL","11,787"
"Richfield village, WI","11,783"
"Fredericksburg city, TX","11,766"
"McComb city, MS","11,762"
"Ringwood borough, NJ","11,762"
"AR City city Kan, as","11,761"
"Arkansas City city, KS","11,761"
"Little Chute village, WI","11,761"
"Franklin city, OH","11,758"
"Emmett charter township, MI","11,755"
"East Bay township, MI","11,751"
"Granby town, CT","11,751"
"Woodward city, OK","11,750"
"Locust Grove city, GA","11,749"
"Fair Oaks Ranch city, TX","11,744"
"McCordsville town, IN","11,744"
"Putnam Valley town, NY","11,744"
"Niles city, MI","11,738"
"Middleton city, ID","11,730"
"North Logan city, UT","11,727"
"Bruce township, IL","11,723"
"Yelm city, WA","11,715"
"Plattsburgh town, NY","11,706"
"Rincon city, GA","11,701"
"Elma town, NY","11,700"
"Fort Gratiot charter township, MI","11,693"
"Lovington city, NM","11,693"
"Stafford town, CT","11,692"
"Evanston city, WY","11,691"
"Covington city, LA","11,686"
"Salem city, OH","11,685"
"Guthrie city, OK","11,682"
"Winfield city, KS","11,678"
"Ridgefield borough, NJ","11,666"
"Brookhaven city, MS","11,654"
"Monmouth city, OR","11,651"
"Gulfport city, FL","11,645"
"Roma city, TX","11,635"
"Storm Lake city, IA","11,627"
"Town and Country city, MO","11,625"
"Gloucester City city, NJ","11,618"
"Sandy township, PA","11,618"
"East Grand Rapids city, MI","11,616"
"New Albany city, OH","11,604"
"Grandview city, WA","11,599"
"Patterson town, NY","11,591"
"Groton town, MA","11,580"
"Oskaloosa city, IA","11,575"
"Lowell city, AR","11,568"
"Bucyrus city, OH","11,567"
"Pineville town, NC","11,567"
"Merriam city, KS","11,560"
"Seven Hills city, OH","11,560"
"Severance town, CO","11,554"
"Bolivar city, MO","11,549"
"Farmington city, MI","11,547"
"Lower Burrell city, PA","11,542"
"Mendota Heights city, MN","11,542"
"Batesville city, AR","11,539"
"Petal city, MS","11,538"
"Suffern village, NY","11,537"
"Spring Lake town, NC","11,530"
"Woodbury village, NY","11,523"
"Dobbs Ferry village, NY","11,513"
"Pingree Grove village, IL","11,512"
"Collegedale city, TN","11,510"
"New Garden township, PA","11,506"
"Pike Road city, AL","11,500"
"Heath city, TX","11,499"
"Essex town, VT","11,497"
"Brimfield township, OH","11,496"
"Woods Cross city, UT","11,493"
"Millington city, TN","11,486"
"Willistown township, PA","11,486"
"Mexico city, MO","11,482"
"Huntertown town, IN","11,481"
"Canandaigua town, NY","11,478"
"Norwell town, MA","11,477"
"Holbrook town, MA","11,475"
"Green River city, WY","11,474"
"Brunswick Hills township, OH","11,472"
"Lowell town, IN","11,449"
"Loyalsock township, PA","11,445"
"Rostraver township, PA","11,445"
"Clawson city, MI","11,440"
"Westwood borough, NJ","11,434"
"Sleepy Hollow village, NY","11,427"
"Leon Valley city, TX","11,424"
"Spencer city, IA","11,418"
"Egelston township, MI","11,415"
"Pleasanton city, TX","11,409"
"Haysville city, KS","11,406"
"Cocoa Beach city, FL","11,386"
"Elk City city, OK","11,383"
"La Plata town, MD","11,374"
"Satellite Beach city, FL","11,367"
"West Hanover township, PA","11,366"
"Westtown township, PA","11,362"
"Okmulgee city, OK","11,354"
"Wanaque borough, NJ","11,346"
"Pleasant View city, UT","11,337"
"Summerfield town, NC","11,333"
"Southwest Meade UT, SD","11,332"
"Schiller Park village, IL","11,325"
"Half Moon Bay city, CA","11,324"
"Lansing city, KS","11,316"
"Bridgeton city, MO","11,301"
"East Windsor town, CT","11,301"
"Port Lavaca city, TX","11,299"
"Wyomissing borough, PA","11,292"
"Markham city, IL","11,290"
"Chatham township, NJ","11,284"
"Bargersville town, IN","11,283"
"Salem city, UT","11,283"
"Elon town, NC","11,282"
"Signal Hill city, CA","11,279"
"Sumpter township, MI","11,269"
"Worcester township, PA","11,258"
"Franklin Lakes borough, NJ","11,251"
"Grand Rapids city, MN","11,244"
"Beachwood borough, NJ","11,242"
"Ravenna city, OH","11,236"
"Fulton city, NY","11,234"
"East Hanover township, NJ","11,232"
"Healdsburg city, CA","11,231"
"Lansdowne borough, PA","11,225"
"Leicester town, MA","11,224"
"Lyndon city, KY","11,221"
"Ocean City city, NJ","11,219"
"Crowley city, LA","11,216"
"Kearney city, MO","11,215"
"Two Rivers city, WI","11,214"
"Ottawa township, IL","11,211"
"Urbana city, OH","11,211"
"Lexington city, NE","11,205"
"Burr Ridge village, IL","11,202"
"Minden city, LA","11,195"
"Camden County, NC","11,184"
"Springdale city, OH","11,183"
"Milton city, FL","11,182"
"Anderson city, CA","11,171"
"Hillsborough town, CA","11,171"
"Waterloo city, IL","11,165"
"Easttown township, PA","11,164"
"Canyon Lake city, CA","11,161"
"Grosse Pointe Park city, MI","11,158"
"West Caldwell township, NJ","11,157"
"Pompton Lakes borough, NJ","11,156"
"Snyder city, TX","11,151"
"Calimesa city, CA","11,150"
"Greensville County, VA","11,150"
"Lloyd town, NY","11,141"
"Marinette city, WI","11,139"
"Little Ferry borough, NJ","11,137"
"Lisbon village, WI","11,127"
"Van Wert city, OH","11,123"
"Spanish Fort city, AL","11,118"
"Bonham city, TX","11,115"
"Coshocton city, OH","11,114"
"Tehachapi city, CA","11,114"
"Lake Grove village, NY","11,109"
"Ivins city, UT","11,108"
"Burkburnett city, TX","11,101"
"Waynesboro borough, PA","11,101"
"East Cocalico township, PA","11,097"
"Warren town, RI","11,095"
"Coweta city, OK","11,093"
"Lower Saucon township, PA","11,089"
"Wantage township, NJ","11,087"
"Malvern city, AR","11,082"
"Fife city, WA","11,077"
"Great Neck village, NY","11,075"
"Brooklyn city, OH","11,072"
"Rockport city, TX","11,069"
"Kittery town, ME","11,064"
"Totowa borough, NJ","11,064"
"Pontiac city, IL","11,054"
"Grand Haven city, MI","11,045"
"Hyrum city, UT","11,043"
"Plymouth city, IN","11,042"
"Manville borough, NJ","11,031"
"Lincoln Park borough, NJ","11,030"
"Sturgis city, MI","11,030"
"East Bradford township, PA","11,025"
"Raymond town, NH","11,012"
"Peru city, IN","11,003"
"Martin city, TN","10,989"
"Jerome township, OH","10,988"
"Roscoe village, IL","10,981"
"Cambridge city, MN","10,974"
"Smithville city, MO","10,971"
"Pella city, IA","10,965"
"Tarboro town, NC","10,954"
"Riverton city, WY","10,953"
"Montgomery city, OH","10,952"
"Middlesex County, VA","10,949"
"Burlington city, WA","10,945"
"Celina city, OH","10,945"
"Burlington city, WI","10,939"
"West Manheim township, PA","10,934"
"Clayton city, CA","10,933"
"Tittabawassee township, MI","10,932"
"Fox Lake village, IL","10,925"
"Fairview town, TX","10,922"
"Columbia city, IL","10,919"
"Somers town, CT","10,905"
"Abbeville city, LA","10,902"
"Winterville town, NC","10,899"
"Standish town, ME","10,897"
"Roanoke city, TX","10,895"
"Campton Hills village, IL","10,894"
"Pine Hill borough, NJ","10,894"
"Clute city, TX","10,893"
"Sumner city, WA","10,885"
"New Richmond city, WI","10,879"
"Lighthouse Point city, FL","10,878"
"Hobart village, WI","10,876"
"Union City city, TN","10,876"
"Newberry city, SC","10,874"
"Palatka city, FL","10,867"
"St. Helena Parish, LA","10,857"
"Alachua city, FL","10,856"
"Flowood city, MS","10,853"
"Vidalia city, GA","10,853"
"Timnath town, CO","10,848"
"Brandon city, SD","10,837"
"Sagamore Hills township, OH","10,837"
"Newport city, OR","10,833"
"Heath city, OH","10,822"
"Maynard town, MA","10,820"
"Alexandria city, KY","10,819"
"Piedmont city, CA","10,816"
"Atchison city, KS","10,813"
"Morgan City city, LA","10,813"
"West Haverstraw village, NY","10,804"
"Milton town, VT","10,802"
"Fairview city, OR","10,796"
"Bedford Heights city, OH","10,791"
"Essex Junction city, VT","10,787"
"Canton city, MS","10,777"
"Sierra Madre city, CA","10,775"
"Manhattan village, IL","10,772"
"Pocono township, PA","10,772"
"Kennedale city, TX","10,771"
"Oakland town, TN","10,769"
"Summit village, IL","10,761"
"Magnolia city, AR","10,759"
"Darby borough, PA","10,749"
"Chestnut Ridge village, NY","10,746"
"Northlake town, TX","10,746"
"London city, OH","10,743"
"Scituate town, RI","10,741"
"Shelton city, WA","10,737"
"Russellville city, AL","10,736"
"Nanticoke city, PA","10,730"
"Excelsior Springs city, MO","10,727"
"Hanson town, MA","10,719"
"Waynesville town, NC","10,709"
"Acushnet town, MA","10,700"
"Mount Kisco town, NY","10,698"
"Mount Kisco village, NY","10,698"
"Vernal city, UT","10,698"
"Placerville city, CA","10,695"
"Ephrata township, PA","10,693"
"Cottage Grove city, OR","10,690"
"Old Saybrook town, CT","10,689"
"Plains township, PA","9,999"
"Massena village, NY","9,998"
"Black Hawk County, IA","9,997"
"St. Anthony city, MN","9,993"
"Switzerland County, IN","9,988"
"Clarke County, VA","9,986"
"Willoughby Hills city, OH","9,986"
"Brooksville city, FL","9,985"
"Fort Madison city, IA","9,983"
"McCormick County, SC","9,983"
"Bristol borough, PA","9,982"
"Mount Pleasant township, PA","9,982"
"Fayette County, IN","9,980"
"Harrisonville city, MO","9,980"
"Hailey city, ID","9,976"
"Portage city, WI","9,975"
"New Square village, NY","9,973"
"Morgan County, CO","9,968"
"Jefferson Davis County, MS","9,966"
"Morehead City town, NC","9,963"
"Rochester township, IN","9,963"
"Sparta city, WI","9,963"
"Colts Neck township, NJ","9,961"
"Woodbury town, CT","9,960"
"Limestone township, IL","9,959"
"Middleton town, MA","9,959"
"Carver County, MN","9,958"
"Chester township, OH","9,955"
"Marshall County, KS","9,950"
"Fort Lupton city, CO","9,948"
"Caddo County, OK","9,945"
"Hampshire township, IL","9,945"
"Martin County, KY","9,945"
"Jersey township, IL","9,942"
"Randolph County, AR","9,942"
"Perry County, IN","9,940"
"Sturgeon Bay city, WI","9,940"
"Muscatine County, IA","9,938"
"Fairfield township, OH","9,937"
"Bradley County, AR","9,935"
"Union township, IN","9,933"
"Taylorville city, IL","9,932"
"Tippecanoe township, IN","9,931"
"Blendon township, OH","9,926"
"Harrison township, IN","9,919"
"Cedar Hills city, UT","9,916"
"Howell city, MI","9,914"
"Mount Airy town, MD","9,914"
"Yazoo City city, MS","9,913"
"Kendall township, IL","9,912"
"Brown township, IN","9,908"
"Middletown city, KY","9,908"
"Greencastle city, IN","9,907"
"Alamosa city, CO","9,906"
"Astoria city, OR","9,906"
"Ashley County, AR","9,902"
"Bullock County, AL","9,901"
"Rye Brook village, NY","9,900"
"Arkadelphia city, AR","9,894"
"Dent County, MO","9,894"
"Struthers city, OH","9,891"
"Lincoln County, AR","9,888"
"Attala County, MS","9,887"
"Colusa County, CA","9,887"
"DeKalb County, MO","9,884"
"Philipstown town, NY","9,881"
"Jay County, IN","9,879"
"Bridgeport charter township, MI","9,878"
"Portage township, IN","9,877"
"Braxton County, WV","9,873"
"Perry County, MO","9,870"
"Wayne County, NE","9,870"
"Blanchard city, OK","9,869"
"Marysville city, MI","9,868"
"Union township, OH","9,867"
"Alcona County, MI","9,866"
"Wilcox County, AL","9,865"
"Martin County, IN","9,864"
"Sugarcreek township, OH","9,863"
"Jackson County, MN","9,861"
"Chippewa township, OH","9,860"
"Chickasaw County, MS","9,856"
"Keokuk County, IA","9,855"
"Stillwater town, NY","9,854"
"Lewis County, MO","9,852"
"Butler County, KY","9,851"
"Thomaston city, GA","9,850"
"St. Clair County, MO","9,848"
"Grant township, IL","9,847"
"College Place city, WA","9,846"
"McLean County, ND","9,845"
"WA County Geor, ia","9,844"
"Linn County, KS","9,841"
"Monroe County, OH","9,841"
"Scott County, AR","9,837"
"Sullivan town, NY","9,837"
"Nome Census Area, AK","9,836"
"Hamburg village, NY","9,835"
"Polk County, MN","9,835"
"Gulf County, FL","9,832"
"Concordia Parish, LA","9,830"
"McLeod County, MN","9,830"
"York city, SC","9,830"
"Montmorency County, MI","9,828"
"Simpson County, KY","9,826"
"Noxubee County, MS","9,825"
"DuPont city, WA","9,823"
"Topsham town, ME","9,820"
"Stevens County, MN","9,819"
"Wapakoneta city, OH","9,817"
"Lisbon town, ME","9,814"
"Anaconda-Deer Lodge County, MT","9,811"
"Deer Lodge County, MT","9,811"
"Eagle Point city, OR","9,811"
"Clay County, AL","9,808"
"Auburn city, GA","9,807"
"Pleasant Valley town, NY","9,807"
"Bridge City city, TX","9,806"
"Muskegon Heights city, MI","9,806"
"Mayfield city, KY","9,805"
"Burlington town, CT","9,804"
"Commerce city, TX","9,800"
"Bogota borough, NJ","9,799"
"Grosse Pointe Farms city, MI","9,794"
"Louisville city, OH","9,793"
"Peru city, IL","9,793"
"Bethel township, PA","9,791"
"Grand County, UT","9,788"
"Harrison township, PA","9,786"
"Kaufman city, TX","9,785"
"Whitehouse city, TX","9,781"
"Sedona city, AZ","9,778"
"Hillsborough town, NC","9,773"
"St. Joseph charter township, MI","9,768"
"Cordele city, GA","9,767"
"Grundy County, MO","9,766"
"Lawrence County, MS","9,765"
"Limestone County, TX","9,763"
"Mascoutah township, IL","9,761"
"West Point city, MS","9,758"
"Cleveland city, TX","9,757"
"Collinsville city, OK","9,757"
"Madison County, MT","9,753"
"Dayton city, TX","9,752"
"Algonquin township, IL","9,751"
"Runnels County, TX","9,751"
"Vinton County, OH","9,751"
"Middletown borough, PA","9,748"
"Morrisville borough, PA","9,745"
"Gibsonville town, NC","9,744"
"Matawan borough, NJ","9,739"
"WA city, NC","9,738"
"Washington city, NC","9,738"
"Kirkland town, NY","9,735"
"Lititz borough, PA","9,733"
"Greenwood city, AR","9,730"
"Leslie County, KY","9,729"
"Vernon city, TX","9,728"
"Amityville village, NY","9,718"
"Ochiltree County, TX","9,717"
"Calhoun County, IA","9,711"
"Orange Cove city, CA","9,708"
"Loveland city, OH","9,705"
"Sunbury city, OH","9,705"
"Brentwood borough, PA","9,704"
"Marion County, TX","9,704"
"Pryor Creek city, OK","9,700"
"Porter township, IN","9,699"
"Columbia City city, IN","9,698"
"North Versailles township, PA","9,694"
"Green Lake County, WI","9,693"
"Keansburg borough, NJ","9,689"
"Cape Elizabeth town, ME","9,688"
"Delta city, CO","9,688"
"Olney township, IL","9,686"
"Vidor city, TX","9,686"
"Woodway city, TX","9,686"
"Salem township, KS","9,683"
"Sunbury Village township, OH","9,683"
"Harrisburg township, IL","9,681"
"Hempstead County, AR","9,680"
"Giles County, VA","9,674"
"Stone County, AR","9,673"
"Andrew County, MO","9,670"
"Marshall County, OK","9,670"
"Parmer County, TX","9,669"
"Swift County, MN","9,666"
"Thornapple township, MI","9,666"
"Coal township, PA","9,665"
"Montvale borough, NJ","9,663"
"Dade City city, FL","9,662"
"Henry County, AL","9,658"
"Napoleon township, OH","9,656"
"East Liverpool city, OH","9,651"
"Clinton County, MO","9,647"
"Fallon city, NV","9,647"
"Neshannock township, PA","9,644"
"Skamania County, WA","9,644"
"Cornwall town, NY","9,637"
"Rutland town, MA","9,637"
"Bladensburg town, MD","9,635"
"Shawano city, WI","9,635"
"Park Ridge borough, NJ","9,634"
"Southside city, AL","9,633"
"Barrington town, NH","9,629"
"Brewer city, ME","9,629"
"Sauk Village village, IL","9,627"
"Sparta township, MI","9,627"
"Lincoln County, SD","9,626"
"Kimball township, MI","9,625"
"South Abington township, PA","9,623"
"Falls County, TX","9,622"
"Nottoway County, VA","9,621"
"Saybrook township, OH","9,620"
"Magoffin County, KY","9,619"
"Humboldt County, IA","9,617"
"Hampton charter township, MI","9,610"
"South Strabane township, PA","9,610"
"Clarksville city, AR","9,606"
"Cheyenne County, NE","9,602"
"Canonsburg borough, PA","9,601"
"Sutton town, MA","9,599"
"Dalton township, MI","9,596"
"Duval County, TX","9,585"
"Hawthorn Woods village, IL","9,584"
"Mill township, OH","9,583"
"Tomah city, WI","9,574"
"Aberdeen town, NC","9,573"
"Ledgeview town, WI","9,573"
"Prospect town, CT","9,573"
"Wilkes County, GA","9,567"
"Hamilton County, NE","9,564"
"Wayne township, IN","9,563"
"Nowata County, OK","9,561"
"Saunders County, NE","9,557"
"Uniontown city, PA","9,554"
"North College Hill city, OH","9,552"
"Sunbury city, PA","9,549"
"Hooper city, UT","9,548"
"Lawrence County, SD","9,548"
"Madeira city, OH","9,542"
"Owen County, KY","9,542"
"Pearsall city, TX","9,541"
"Cumberland County, VA","9,540"
"Esopus town, NY","9,538"
"Sac County, IA","9,533"
"Newmarket town, NH","9,528"
"Butler County, AL","9,525"
"Rock County, MN","9,525"
"Clarke County, IA","9,524"
"Fairfield city, AL","9,524"
"Montgomery town, NY","9,522"
"Baugo township, IN","9,515"
"Thompson town, CT","9,513"
"Bondurant city, IA","9,511"
"Fairfield city, IA","9,511"
"Rochelle city, IL","9,510"
"Kewanee township, IL","9,509"
"Latimer County, OK","9,509"
"Porter township, OH","9,509"
"Brewster County, TX","9,508"
"DeRidder city, LA","9,508"
"Herkimer town, NY","9,508"
"Thompson town, NY","9,508"
"Forest County, WI","9,506"
"Itasca village, IL","9,506"
"Florence city, OR","9,504"
"Capitola city, CA","9,503"
"Clinton township, OH","9,503"
"Live Oak city, CA","9,503"
"Iroquois County, IL","9,502"
"Lopatcong township, NJ","9,502"
"Monroe village, NY","9,502"
"Grinnell city, IA","9,495"
"Wesley Chapel village, NC","9,495"
"Palm Beach town, FL","9,493"
"Leonia borough, NJ","9,492"
"Harrodsburg city, KY","9,491"
"Arden Hills city, MN","9,490"
"Unity township, OH","9,486"
"Alleghany County, NC","9,485"
"Lowndes County, AL","9,485"
"Shelby County, IL","9,481"
"Portland town, CT","9,478"
"Stephens County, TX","9,475"
"Mountrail County, ND","9,474"
"Navasota city, TX","9,471"
"Scott city, LA","9,468"
"Rush County, IN","9,466"
"Adams County, WA","9,465"
"North Cornwall township, PA","9,465"
"Jones County, NC","9,462"
"Keokuk city, IA","9,462"
"Girard city, OH","9,454"
"Rensselaer city, NY","9,453"
"Douglas town, MA","9,452"
"Stillwater County, MT","9,450"
"Clinton city, MO","9,449"
"Providence city, UT","9,447"
"Taylor township, IN","9,447"
"East Stroudsburg borough, PA","9,445"
"Merrill city, WI","9,445"
"Old Orchard Beach town, ME","9,438"
"Washington township, NJ","9,437"
"Moore township, PA","9,435"
"Center township, MO","9,434"
"Blackhawk township, IL","9,433"
"Angola city, IN","9,432"
"Jacinto City city, TX","9,431"
"Story County, IA","9,431"
"Wasatch County, UT","9,430"
"Horseheads town, NY","9,428"
"LaSalle city, IL","9,424"
"Murphysboro township, IL","9,422"
"Iron County, MO","9,420"
"Warrenton city, MO","9,420"
"Salisbury town, MA","9,415"
"Grand Forks County, ND","9,414"
"Marble Falls city, TX","9,413"
"Ione city, CA","9,411"
"Montgomery County, MS","9,411"
"Greenlee County, AZ","9,410"
"Harvard city, IL","9,408"
"Putnam town, CT","9,407"
"Benner township, PA","9,406"
"Tate township, OH","9,405"
"Oakwood city, OH","9,400"
"Chowan County, NC","9,399"
"Silver City town, NM","9,399"
"Jack County, TX","9,398"
"Bridgeport city, WV","9,397"
"Lancaster city, SC","9,396"
"Newton County, IN","9,395"
"Caldwell Parish, LA","9,393"
"Diamondhead city, MS","9,391"
"Medina township, OH","9,390"
"Toccoa city, GA","9,389"
"Hastings town, NY","9,387"
"Plumsted township, NJ","9,387"
"Summers County, WV","9,385"
"Perry township, IN","9,382"
