Location,Population
"Fort Wayne city, IN","273,203"
"Lubbock city, TX","272,086"
"Sussex County, DE","271,134"
"Erie County, PA","267,750"
"Westchester County, NY","267,147"
"St. Petersburg city, FL","267,102"
"Toledo city, OH","265,638"
"Harford County, MD","265,514"
"Kalamazoo County, MI","264,780"
"Berkeley County, SC","264,276"
"Clay County, MO","263,370"
"Santa Cruz County, CA","262,406"
"Baldwin County, AL","261,608"
"Laredo city, TX","261,260"
"Henry County, GA","259,315"
"Port St. Lucie city, FL","258,575"
"Glendale city, AZ","258,143"
"Irving city, TX","258,060"
"Warren County, OH","256,059"
"Winston-Salem city, NC","255,769"
"Chesapeake city, VA","254,997"
"Garland city, TX","250,431"
"Johnston County, NC","249,794"
"Smith County, TX","249,091"
"Scottsdale city, AZ","246,170"
"Scottsdale, AZ","246,170"
"King County, WA","243,514"
"New Hanover County, NC","243,333"
"Saratoga County, NY","240,360"
"Arlington County, VA","239,807"
"DE County O, io","237,966"
"Boise City city, ID","237,963"
"North Hempstead town, NY","237,692"
"Clay County, FL","236,760"
"Hialeah city, FL","235,388"
"Frisco city, TX","235,208"
"Richmond city, VA","233,655"
"Cape Coral city, FL","233,025"
"Barnstable County, MA","232,570"
"Jefferson County, MO","231,888"
"Linn County, IA","231,762"
"Norfolk city, VA","231,105"
"Spokane city, WA","230,609"
"Huntsville city, AL","230,402"
"Santa Clarita city, CA","229,159"
"Oneida County, NY","228,347"
"Tacoma city, WA","228,202"
"Fremont city, CA","228,192"
"McKinney city, TX","227,526"
"Montgomery County, AL","225,894"
"Mahoning County, OH","225,786"
"San Bernardino city, CA","224,775"
"Hall County, GA","221,745"
"Baton Rouge city, LA","220,907"
"Modesto city, CA","220,592"
"Okaloosa County, FL","220,483"
"York County, ME","220,143"
"Babylon town, NY","218,566"
"Fontana city, CA","218,455"
"Hernando County, FL","218,150"
"Salt Lake City city, UT","217,783"
"Anderson County, SC","217,183"
"Clermont County, OH","214,123"
"Moreno Valley city, CA","213,919"
"Des Moines city, IA","213,096"
"Onslow County, NC","212,954"
"Charlotte County, FL","212,122"
"Worcester city, MA","211,286"
"Yonkers city, NY","211,040"
